label,tags_count,hashtags_count,quotes,url,full_cap_words_count,cap_words_count,tag_realDonaldTrump,tweet_length,NN,DT,IN,JJ,NNS,VBZ,VBD,hr_publish_time_noon,hr_publish_time_evening-night
1,0,0.143,0,1,0,0.222222222,0,0.195,0.111111111,0,0,0,0,0,0,0,1
0,0.125,0,0,0,0.2,0.266666667,0,0.341,0.2,0,0.066666667,0,0,0,0,0,1
0,0,0,0,0,0.148148148,0.222222222,0,0.634,0.148148148,0.111111111,0.111111111,0.074074074,0,0.037037037,0,0,0
1,0,0.143,0,1,0,0.285714286,0,0.146,0.285714286,0,0,0.142857143,0,0,0,0,0
1,0,0.143,0,1,0,0.375,0,0.171,0.375,0,0,0,0,0,0,0,0
1,0,0.143,0,1,0,0.375,0,0.171,0.125,0,0,0.125,0,0,0,0,0
1,0,0.143,0,1,0,0.375,0,0.171,0.375,0,0,0,0,0,0,0,0
1,0,0.143,0,1,0,0.285714286,0,0.146,0.428571429,0,0,0,0,0,0,0,0
1,0,0,0,1,0.08,0.32,0,0.585,0,0,0.12,0.08,0.08,0.08,0,0,1
0,0,0,1,0,0.04,0.08,0,0.585,0.16,0.16,0.12,0.08,0,0,0.08,0,1
0,0.125,0,0,0,0.041666667,0.166666667,0,0.561,0.041666667,0.041666667,0.041666667,0.083333333,0.083333333,0.041666667,0.041666667,0,1
0,0,0,0,0,0.25,0.4375,0,0.366,0.125,0.0625,0.0625,0.0625,0,0,0,0,1
1,0,0.286,0,1,0.083333333,0.291666667,0,0.561,0.125,0,0.083333333,0.083333333,0,0,0,1,0
0,0,0,0,0,0.068965517,0.310344828,0,0.683,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0,0,0,1
0,0,0,0,0,0,0.0625,0,0.366,0.125,0.0625,0.0625,0,0.0625,0,0,1,0
0,0.125,0,0,0,0.058823529,0.117647059,0,0.39,0.058823529,0.058823529,0.176470588,0.058823529,0.058823529,0,0,1,0
0,0,0,0,0,0.185185185,0.259259259,0,0.634,0.074074074,0,0.074074074,0.074074074,0,0.037037037,0,1,0
0,0.125,0,0,0,0.133333333,0.2,0,0.707,0.133333333,0.066666667,0.133333333,0.033333333,0,0,0,1,0
0,0.125,0,0,0,0.25,0.25,0,0.073,0,0,0,0,0.25,0,0,1,0
0,0,0,0,0,0,0.222222222,0,0.634,0.074074074,0.037037037,0,0.148148148,0,0.111111111,0,1,0
